Dep_Name,Pearson_Corr
"湘财证券有限责任公司昆明护国路证券营业部,财通证券有限责任公司富阳市迎宾路证券营业部",0.2
"信达证券股份有限公司上海中华路证券营业部,红塔证券股份有限公司大理人民路证券营业部",0.2
"东方证券股份有限公司上海长宁区长宁路证券营业部,国泰君安证券股份有限公司宁波君子街证券营业部",0.2
"国泰君安证券股份有限公司宁波君子街证券营业部,方正证券股份有限公司衡阳祁东民生街证券营业部",0.2
"安信证券股份有限公司镇江中山东路证券营业部,南京证券有限责任公司南昌洪城路证券营业部",0.2
"安信证券股份有限公司镇江中山东路证券营业部,国盛证券有限责任公司武汉京汉大道证券营业部",0.2
"中原证券股份有限公司新乡人民路证券营业部,财通证券有限责任公司富阳市迎宾路证券营业部",0.2
"东北证券股份有限公司吉林遵义东路证券营业部,中信建投证券股份有限公司襄阳襄城鼓楼巷证券营业部",0.2
"招商证券股份有限公司扬州汶河北路证券营业部,上海证券有限责任公司崇明证券营业部",0.2
"国元证券股份有限公司芜湖黄山西路证券营业部,方正证券股份有限公司南昌南京西路证券营业部",0.2
"天风证券股份有限公司深圳滨河路证券营业部,世纪证券有限责任公司北京平安大街证券营业部",0.2
"广发华福证券有限责任公司漳州延安北路证券营业部,渤海证券股份有限公司郑州东明路证券营业部",0.2
"国盛证券有限责任公司南昌洪都大道证券营业部,江海证券有限公司大连五四路证券营业部",0.2
"中国中投证券有限责任公司淮安淮海东路证券营业部,银泰证券有限责任公司青岛燕儿岛路证券营业部",0.2
"申银万国证券股份有限公司上海中华路证券营业部,民生证券股份有限公司长沙晚报大道证券营业部",0.2
"湘财证券有限责任公司长沙韶山路证券营业部,中国建银投资证券有限责任公司杭州环球中心证券营业部",0.2
"渤海证券股份有限公司郑州东明路证券营业部,东北证券股份有限公司北京朝外大街证券营业部",0.2
"东莞证券有限责任公司东莞石龙证券营业部,江海证券有限公司哈尔滨红军街证券营业部",0.2
"广发证券股份有限公司葫芦岛龙湾大街证券营业部,国泰君安证券股份有限公司福州五四路证券营业部",0.2
