,accumulate return
1417,-0.00627
1418,-0.00746
1419,0.03978
1420,0.03775
1421,0.04745
1422,0.0452
1423,0.05106
1424,0.02033
1425,-0.00517
1426,0.04441
1427,0.03782
1428,0.0482
1429,0.0204
1430,0.0274
1431,0.00807
1432,0.00159
1433,0.03928
1434,0.0321
1435,0.04583
1436,0.0203
1437,0.03789
1438,-1.00000000042e-05
1439,0.03978
1440,-0.0146
1441,0.01185
1442,0.00907
1443,0.03599
1444,0.09123
1445,0.02494
1446,0.02132
1447,0.03004
1448,0.05769
1449,0.00373
1450,0.02566
1451,0.03131
1452,0.06687
1453,0.00897
1454,0.03365
1455,0.06339
1456,0.01161
1457,0.01662
1458,-0.00523
1459,0.04012
1460,0.00534
1461,0.08754
1462,0.01142
1463,0.0377
1464,0.00833
1465,0.00855
1466,0.05877
1467,0.00721999999999
1468,0.05983
1469,0.03276
1470,0.02288
1471,0.05044
1472,0.00398
1473,0.06005
1474,0.04068
1475,0.00228
1476,0.01534
1477,0.0274
1478,0.02539
1479,0.04893
1480,-0.0082
1481,0.02384
1482,0.02717
1483,0.04078
1484,0.0314
1485,0.0236
1486,0.03121
1487,0.04552
1488,0.0326
1489,-0.01079
1490,0.04629
1491,0.03498
1492,0.05341
1493,0.03725
1494,0.024
1495,0.03701
1496,0.07249
1497,0.03581
1498,0.02023
1499,0.06969
1500,0.05735
1501,0.02082
1502,0.0275
1503,0.03892
1504,0.05155
1505,0.07583
1506,-0.01489
1507,0.05918
1508,0.02976
1509,0.04009
1510,0.03391
1511,0.0611
1512,0.06791
1513,0.04975
1514,0.05089
1515,0.04191
1516,0.06822
1517,0.06215
1518,0.05739
1519,0.05642
1520,0.04439
1521,0.03346
1522,0.03475
1523,0.03755
1524,0.00783
1525,0.06088
1526,-0.03838
1527,0.0514
1528,0.01593
1529,0.05813
1530,0.03529
1531,0.03299
1532,0.05121
1533,0.05002
1534,0.00501
1535,-0.00141
1536,0.03502
1537,0.00342
1538,0.00541
1539,0.01942
1540,0.04811
1541,0.10791
1542,0.0212
1543,-0.01187
1544,0.05692
1545,0.04764
1546,0.08598
1547,0.07714
1548,0.05206
1549,0.02191
1550,0.05025
1551,0.00364
1552,0.03973
1553,0.04222
1554,0.03724
1555,0.01396
1556,0.06774
1557,0.04937
1558,0.07003
1559,0.056
1560,0.02611
1561,0.00816
1562,0.03551
1563,0.01944
